date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:36:45	24/24	---M--	200	added ('OK')	text/plain	etag:%22rtxt3ao%22	https://hps-dz.com/robots.txt		(from )
10:36:45	62816/62816	---MCZ	200	added ('OK')	text/html	date:Tue,%2005%20Sep%202023%2009:36:44%20GMT	https://hps-dz.com/	C:/My%20Web%20Sites/HPS/hps-dz.com/index.html	(from )
10:36:46	2222/2222	---M-Z	200	added ('OK')	image/svg+xml	etag:%22rtxt3a1pq%22	https://hps-dz.com/favicon.svg	C:/My%20Web%20Sites/HPS/hps-dz.com/favicon.svg	(from https://hps-dz.com/)
10:36:47	107934/107934	---MCZ	200	added ('OK')	text/css	etag:%22rtxt4i2ba6%22	https://hps-dz.com/build/assets/app.f25349e3.css	C:/My%20Web%20Sites/HPS/hps-dz.com/build/assets/app.f25349e3.css	(from https://hps-dz.com/)
10:36:47	6439/6439	---M-Z	200	added ('OK')	text/css	etag:%22rtxt4i4yv%22	https://hps-dz.com/build/assets/app.eb7181e4.css	C:/My%20Web%20Sites/HPS/hps-dz.com/build/assets/app.eb7181e4.css	(from https://hps-dz.com/)
10:36:48	70607/70607	---MCZ	200	added ('OK')	application/javascript	etag:%22rtxt4i1ihb%22	https://hps-dz.com/build/assets/app.1fc95740.js	C:/My%20Web%20Sites/HPS/hps-dz.com/build/assets/app.1fc95740.js	(from https://hps-dz.com/)
10:36:48	49761/49761	---MCZ	200	added ('OK')	text/html	date:Tue,%2005%20Sep%202023%2009:36:47%20GMT	https://hps-dz.com/produits	C:/My%20Web%20Sites/HPS/hps-dz.com/produits.html	(from https://hps-dz.com/)
10:36:49	49950/49950	---MCZ	200	added ('OK')	text/html	date:Tue,%2005%20Sep%202023%2009:36:48%20GMT	https://hps-dz.com/a-propos	C:/My%20Web%20Sites/HPS/hps-dz.com/a-propos.html	(from https://hps-dz.com/)
10:36:50	44629/44629	---MCZ	200	added ('OK')	text/html	date:Tue,%2005%20Sep%202023%2009:36:48%20GMT	https://hps-dz.com/qualite-et-environnement	C:/My%20Web%20Sites/HPS/hps-dz.com/qualite-et-environnement.html	(from https://hps-dz.com/)
10:36:50	54141/54141	---MCZ	200	added ('OK')	text/html	date:Tue,%2005%20Sep%202023%2009:36:49%20GMT	https://hps-dz.com/contact	C:/My%20Web%20Sites/HPS/hps-dz.com/contact.html	(from https://hps-dz.com/)
10:36:51	10234/10234	---MCZ	200	added ('OK')	text/html	date:Tue,%2005%20Sep%202023%2009:36:50%20GMT	https://hps-dz.com/login	C:/My%20Web%20Sites/HPS/hps-dz.com/login.html	(from https://hps-dz.com/)
10:36:51	14421/14421	---MCZ	200	added ('OK')	text/html	date:Tue,%2005%20Sep%202023%2009:36:50%20GMT	https://hps-dz.com/register	C:/My%20Web%20Sites/HPS/hps-dz.com/register.html	(from https://hps-dz.com/)
10:36:52	98722/98722	---MCZ	200	added ('OK')	image/svg+xml	etag:%22rtxt3a246a%22	https://hps-dz.com/images/gsh.svg	C:/My%20Web%20Sites/HPS/hps-dz.com/images/gsh.svg	(from https://hps-dz.com/)
10:36:53	41402/41402	---MCZ	200	added ('OK')	text/html	date:Tue,%2005%20Sep%202023%2009:36:52%20GMT	https://hps-dz.com/recrutement	C:/My%20Web%20Sites/HPS/hps-dz.com/recrutement.html	(from https://hps-dz.com/)
10:36:53	219571/219571	---M--	200	added ('OK')	image/jpeg	etag:%22rltf2j4pf7%22	https://hps-dz.com/storage/879/1c5r5xbKGsBMqwXwhDD719cxDNyEZ2-metacmV2MDEuanBn-.jpg	C:/My%20Web%20Sites/HPS/hps-dz.com/storage/879/1c5r5xbKGsBMqwXwhDD719cxDNyEZ2-metacmV2MDEuanBn-.jpg	(from https://hps-dz.com/)
10:36:55	2827965/2827965	---M--	200	added ('OK')	image/jpeg	etag:%22rl5e4q1om2l%22	https://hps-dz.com/storage/415/GzGHMO7qvCtqDlEgXM3A7v0dMyQ8rj-metaRFNDMDYzNDIgY29waWUuanBn-.jpg	C:/My%20Web%20Sites/HPS/hps-dz.com/storage/415/GzGHMO7qvCtqDlEgXM3A7v0dMyQ8rj-metaRFNDMDYzNDIgY29waWUuanBn-.jpg	(from https://hps-dz.com/)
10:36:55	473824/473824	---M--	200	added ('OK')	image/jpeg	etag:%22rltbx5a5ls%22	https://hps-dz.com/storage/874/DLtEiVojufmKAd9MrytUIFcLOrreNN-metaZGhkYi5qcGc=-.jpg	C:/My%20Web%20Sites/HPS/hps-dz.com/storage/874/DLtEiVojufmKAd9MrytUIFcLOrreNN-metaZGhkYi5qcGc=-.jpg	(from https://hps-dz.com/)
10:36:55	695177/695177	---M--	200	added ('OK')	image/jpeg	etag:%22rlagmeeweh%22	https://hps-dz.com/storage/458/oAlLXRZShJnhyQ049mKnS3JGDBBhsL-metaX0RTQzY4MDIuSlBH-.jpg	C:/My%20Web%20Sites/HPS/hps-dz.com/storage/458/oAlLXRZShJnhyQ049mKnS3JGDBBhsL-metaX0RTQzY4MDIuSlBH-.jpg	(from https://hps-dz.com/)
10:36:56	723125/723125	---M--	200	added ('OK')	image/jpeg	etag:%22rltd0jfhyt%22	https://hps-dz.com/storage/876/FWlreTKKHuBd3cVMUG6HR18fmP5J3G-metaX0RTQzY5MjkuSlBH-.jpg	C:/My%20Web%20Sites/HPS/hps-dz.com/storage/876/FWlreTKKHuBd3cVMUG6HR18fmP5J3G-metaX0RTQzY5MjkuSlBH-.jpg	(from https://hps-dz.com/)
10:36:56	745701/745701	---M--	200	added ('OK')	image/jpeg	etag:%22rl5glqfzdx%22	https://hps-dz.com/storage/427/evPbPAap6vwNa7pSqrOYb8UTbep6lI-metaZ2ZqZmQuanBn-.jpg	C:/My%20Web%20Sites/HPS/hps-dz.com/storage/427/evPbPAap6vwNa7pSqrOYb8UTbep6lI-metaZ2ZqZmQuanBn-.jpg	(from https://hps-dz.com/)
10:36:57	1321892/1321892	---M--	200	added ('OK')	image/png	etag:%22ru11o2sbz8%22	https://hps-dz.com/storage/1017/EvR33MFYWRBGNG2Ot6oT4Q2KQvhew9-metaSFBTIHBhcnRpY2lwZSBhdSBCQVRJTUFURUMgRXhwbyAyMDIzICgxKS5wbmc=-.png	C:/My%20Web%20Sites/HPS/hps-dz.com/storage/1017/EvR33MFYWRBGNG2Ot6oT4Q2KQvhew9-metaSFBTIHBhcnRpY2lwZSBhdSBCQVRJTUFURUMgRXhwbyAyMDIzICgxKS5wbmc=-.png	(from https://hps-dz.com/)
10:36:57	1030943/1030943	---M--	200	added ('OK')	image/png	etag:%22rxoovhm3hb%22	https://hps-dz.com/storage/1123/rspZuCtreMZ0lEjkcrmGoagIFLoizW-metaQ29waWUgZGUgSFBTIHBhcnRpY2lwZSBhdSBCQVRJTUFURUMgRXhwbyAyMDIzICgyKS5wbmc=-.png	C:/My%20Web%20Sites/HPS/hps-dz.com/storage/1123/rspZuCtreMZ0lEjkcrmGoagIFLoizW-metaQ29waWUgZGUgSFBTIHBhcnRpY2lwZSBhdSBCQVRJTUFURUMgRXhwbyAyMDIzICgyKS5wbmc=-.png	(from https://hps-dz.com/)
10:36:58	1049085/1049085	---M--	200	added ('OK')	image/png	etag:%22s0gkgjmhh9%22	https://hps-dz.com/storage/1124/TFgpWcfNNuQ7ScbrJCGhMKSh936hyd-metaSFBTIHBhcnRpY2lwZSBhdSBTSUZGUC5wbmc=-.png	C:/My%20Web%20Sites/HPS/hps-dz.com/storage/1124/TFgpWcfNNuQ7ScbrJCGhMKSh936hyd-metaSFBTIHBhcnRpY2lwZSBhdSBTSUZGUC5wbmc=-.png	(from https://hps-dz.com/)
10:36:58	74485/74485	---MCZ	200	added ('OK')	text/html	date:Tue,%2005%20Sep%202023%2009:36:57%20GMT	https://hps-dz.com/produits/fenetre	C:/My%20Web%20Sites/HPS/hps-dz.com/produits/fenetre.html	(from https://hps-dz.com/)
10:36:58	19620/19620	---M--	200	added ('OK')	image/png	etag:%22rl2m8ff50%22	https://hps-dz.com/storage/375/OYngVtI8IWLRwdAlmiSvFjsa0iWLcN-metaRmVuZXRyZS5wbmc=-.png	C:/My%20Web%20Sites/HPS/hps-dz.com/storage/375/OYngVtI8IWLRwdAlmiSvFjsa0iWLcN-metaRmVuZXRyZS5wbmc=-.png	(from https://hps-dz.com/)
